Configuration Item,CI_TagName,CI_TagUserName,CI_TagDescription,CI_ValueSizeBytes,CI_ValueOptions,CI_ValueOptions,CI_InternalNotes,CI_UserVisibility,CI_ReadOnly,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_AladdinMenuPathsAndCategories
EB2D,CI_UCC_UPCE_2D_COMPONENT_ENABLE,UPC-E 2D Component,Controls requirement that a 2D label component be decoded when an UPC-E base label is decoded.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,UCC
EDFC,CI_EAN_DECODE_FROM_CENTER,Decode EAN from Center,"Default value (01) increase EAN decoding speed and in some case can ignore quiet zone constraints.
Disabled value (00) may not read blurred labels, but take always into account the quiet zone constraints.",1,"[format=selection]
0x00=Disable
0x01=Enable",,"01 value increase EAN localization and decoding speed, it may ignore the quiet zone constraint.",INTERNAL,false,0x01,0x01,,,,,,,,,,,,EAN
ADC1,CI_CONDITIONAL_ADDON_CONTROL_1,Conditional Add-On Control 1,Specifies the conditions (base label type and first three digits) in which a specific addon type is required.,2,"[format=custom]
[field CodeSelection.Addon.ConditionalControl1a]
size=4
display=                               (Base label 1st. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl1a]
[field CodeSelection.Addon.ConditionalControl1b]
size=4
display=                               (Base label 2nd. digit)
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl1b]
[field CodeSelection.Addon.ConditionalControl1c]
size=4
display=                               (Base label 3rd. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl1c]
[field CodeSelection.Addon.ConditionalControl1d]
size=4
display=Conditional Add-on Control 1 (Base label and Add-on type)
[format=selection]
0x0=Disabled
0x1=UPC-A + P2
0x2=UPC-A + P5
0x3=UPC-A + P8
0x4=UPC-E + P2
0x5=UPC-E + P5
0x6=UPC-E + P8
0x7=EAN-13 + P2
0x8=EAN-13 + P5
0x9=EAN-13 + P8
0xA=EAN-8 + P2
0xB=EAN-8 + P5
0xC=EAN-8 + P8
[/field CodeSelection.Addon.ConditionalControl1d]",,"If a base label is decoded that matches the configured base label type and digits of a CI_CONDITIONAL_ADDON_CONTROL entry, the configured addon type is also required to be decoded before the base label and addon are transmitted.
This value has 4 fields, 1 nibble each.  The most significant nibble is Nibble [0].  The least significant nibble is Nibble [3].
Nibbles [0] [1] [2] are used to specify the first 3 digits of the base label. Nibble [3] specifies the base label type and also the type of addon that is required.
Values for Nibbles [0] [1] [2] may be 0x0 - 0x9;  0xF = do not care; 0xA - 0xE = indeterminate results.  
Conditional addon settings are considered by the scanner before optional addon settings (CI_ENABLE_OPTIONAL...). If a decoded base label does not match any of the CI_CONDITIONAL_ADDON_CONTROL entries, the scanner will then check for applicable optional addon settings.
For situations where a decoded base label matches more than one CI_CONDITIONAL_ADDON_CONTROL entry, the scanner will require just one addon type from the matching CI_CONDITIONAL_ADDON_CONTROL entries.",PUBLIC_PRG,false,0x3780,0x3780,,,,,,,0x4918,,,,,CONDITIONAL
ADC2,CI_CONDITIONAL_ADDON_CONTROL_2,Conditional Add-On Control 2,Specifies the conditions (base label type and first three digits) in which a specific addon type is required.,2,"[format=custom]
[field CodeSelection.Addon.ConditionalControl2a]
size=4
display=                (Base label 1st. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl2a]
[field CodeSelection.Addon.ConditionalControl2b]
size=4
display=                (Base label 2nd. digit)
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl2b]
[field CodeSelection.Addon.ConditionalControl2c]
size=4
display=                (Base label 3rd. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl2c]
[field CodeSelection.Addon.ConditionalControl2d]
size=4
display=Conditional Add-on Control 2 (Base label and Add-on type)
[format=selection]
0x0=Disabled
0x1=UPC-A + P2
0x2=UPC-A + P5
0x3=UPC-A + P8
0x4=UPC-E + P2
0x5=UPC-E + P5
0x6=UPC-E + P8
0x7=EAN-13 + P2
0x8=EAN-13 + P5
0x9=EAN-13 + P8
0xA=EAN-8 + P2
0xB=EAN-8 + P5
0xC=EAN-8 + P8
[/field CodeSelection.Addon.ConditionalControl2d]",,See notes for CI_CONDITIONAL_ADDON_CONTROL_1,PUBLIC_PRG,false,0x3790,0x3790,,,,,,,,,,,,CONDITIONAL
ADC3,CI_CONDITIONAL_ADDON_CONTROL_3,Conditional Add-On Control 3,Specifies the conditions (base label type and first three digits) in which a specific addon type is required.,2,"[format=custom]
[field CodeSelection.Addon.ConditionalControl3a]
size=4
display=                (Base label 1st. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl3a]
[field CodeSelection.Addon.ConditionalControl3b]
size=4
display=                (Base label 2nd. digit)
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl3b]
[field CodeSelection.Addon.ConditionalControl3c]
size=4
display=                (Base label 3rd. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl3c]
[field CodeSelection.Addon.ConditionalControl3d]
size=4
display=Conditional Add-on Control 3 (Base label and Add-on type)
[format=selection]
0x0=Disabled
0x1=UPC-A + P2
0x2=UPC-A + P5
0x3=UPC-A + P8
0x4=UPC-E + P2
0x5=UPC-E + P5
0x6=UPC-E + P8
0x7=EAN-13 + P2
0x8=EAN-13 + P5
0x9=EAN-13 + P8
0xA=EAN-8 + P2
0xB=EAN-8 + P5
0xC=EAN-8 + P8
[/field CodeSelection.Addon.ConditionalControl3d]",,See notes for CI_CONDITIONAL_ADDON_CONTROL_1,PUBLIC_PRG,false,0x9770,0x9770,,,,,,,,,,,,CONDITIONAL
ADC4,CI_CONDITIONAL_ADDON_CONTROL_4,Conditional Add-On Control 4,Specifies the conditions (base label type and first three digits) in which a specific addon type is required.,2,"[format=custom]
[field CodeSelection.Addon.ConditionalControl4a]
size=4
display=                               (Base label 1st. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl4a]
[field CodeSelection.Addon.ConditionalControl4b]
size=4
display=                               (Base label 2nd. digit)
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl4b]
[field CodeSelection.Addon.ConditionalControl4c]
size=4
display=                               (Base label 3rd. digit) 
[format=selection]
0x0=0
0x1=1
0x2=2
0x3=3
0x4=4
0x5=5
0x6=6
0x7=7
0x8=8
0x9=9
0xF=*
[/field CodeSelection.Addon.ConditionalControl4c]
[field CodeSelection.Addon.ConditionalControl4d]
size=4
display=Conditional Add-on Control 4 (Base label and Add-on type)
[format=selection]
0x0=Disabled
0x1=UPC-A + P2
0x2=UPC-A + P5
0x3=UPC-A + P8
0x4=UPC-E + P2
0x5=UPC-E + P5
0x6=UPC-E + P8
0x7=EAN-13 + P2
0x8=EAN-13 + P5
0x9=EAN-13 + P8
0xA=EAN-8 + P2
0xB=EAN-8 + P5
0xC=EAN-8 + P8
[/field CodeSelection.Addon.ConditionalControl4d]",,See notes for CI_CONDITIONAL_ADDON_CONTROL_1,PUBLIC_PRG,false,0x9780,0x9780,,,,,,,,,,,,CONDITIONAL
ADOT,CI_OPTIONAL_ADDON_TIMER,Optional Add-On Timer,Sets the time the scanner will look for an addon when an add-on fragment has been seen and optional add-ons are enabled.,1,"[format=range]
min=00
max=0x1E
step=01
[PRG_ValueIncluded=false]",,"The ""normal"" setting for this configuration item is 0x07 (70 milliseconds). To enable optional addons, see CI_ENABLE_OPTIONAL_P2, CI_ENABLE_OPTIONAL_P5.
Value is multiplied by 10 msec step.",PUBLIC_PRG,false,0x07,0x07,,,,,,,,,,,,OPTIONAL
ADO2,CI_ENABLE_OPTIONAL_P2,Enable Optional P2 Add-On,Enables optional P2 add-ons.,1,"[format=selection]
0x00=Disable
0x01=Enable",,"If a EAN/UPC base label and a P2 addon are both decoded, the scanner will transmit the base label and addon. If a EAN/UPC base label is decoded without an addon, the base label will be transmitted without an addon. See CI_OPTIONAL_ADDON_TIMER and CI_P2_ADDON_MINIMUM_READ for additional information.
Please note that conditional addons settings (CI_CONDITIONAL_ADDON...) are considered by the scanner before optional addon settings.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ADDON2
ADO5,CI_ENABLE_OPTIONAL_P5,Enable Optional P5 Add-On,Enables optional P5 add-ons.,1,"[format=selection]
0x00=Disable
0x01=Enable",,"If a EAN/UPC base label and a P5 addon are both decoded, the scanner will transmit the base label and addon. If a EAN/UPC base label is decoded without an addon, the base label will be transmitted without an addon. See CI_OPTIONAL_ADDON_TIMER and CI_P5_ADDON_MINIMUM_READ for additional information.
Please note that conditional addons settings (CI_CONDITIONAL_ADDON...) are considered by the scanner before optional addon settings.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ADDON5
CPCL,CI_COUPON_CONTROL,Coupon Control,Used to control the method of processing coupon labels.,1,"[format=selection]
0x00=Allow all coupon barcodes to be decoded
0x01=Enable only UPC-A coupon decoding
0x02=Enable only GS1 DataBar coupon decoding",,,PUBLIC_PRG,false,0x01,0x01,,,0x00,,,,0x00,,,,0x00,COUPON
CCEN,CI_CIP_C39_ENABLE,CIP C39 Enable/Disable,Enables/Disables ability to decode Code 39 CIP labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,French Pharmacode,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CIP
C3CC,CI_CODE39_CHECK_CHARACTER_CALCULATION,Code 39 Check Character Calculation,Enables/Disables calculation and verification of optional Code39 check character,1,"[format=selection]
0x00=Disable
0x01=Enable Standard check
0x02=Enable Mod-7 check
0x04=Enable Italian Post check
0x08=Enable Daimler Chrysler check
[PRG_ValueIncluded=false]",,"Range = 00-0x1f by 01
0x00=Disable
Bit values
0x01=Enable Standard check
0x02=Enable Mod-7 check
0x04=Enable Italian Post check
0x08=Enable Daimer Chrysler check
When disabled, any check character in label is treated as a data character
In same case the configuration of Code 39 with 0x01=Enable Standard check gets",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
C3DA,CI_CODE39_DIGIT_AGGRESSIVENESS,Code 39 Aggressiveness,Specifies the tolerance of the digit classification algorithm for Code 39.,1,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",,A high value of aggressiveness makes the algorithm more tolerant and able to classify distorted codes. A low value of aggressiveness makes the algorithm safer and reduces the risk of misread.,PUBLIC_PRG,false,0x03,0x03,,,,,,,0x01,,,,,CODE39
C3EN,CI_CODE39_ENABLE,Code 39 Enable/Disable,Enables/Disables ability to decode Code39 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,0x00,,,,,CODE39
C3FA,CI_CODE39_FULL_ASCII,Code 39 Full ASCII,"In Code39 decoding, this enables/disables the translation of Code39 characters to Code39 full-ASCII characters.
In the Wand Emulation interface, this enables/disables the Code39 full-ASCII encoding scheme for Code39 labels.",1,"[format=selection]
0x00=Disable Code39 Full-ASCII
0x01=Enable Code39 Full-ASCII",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
C3L1,CI_CODE39_LENGTH_1,Code 39 Set Length 1,Specifies one of the barcode lengths for Code39 length control.,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s check, data, and full-ASCII shift characters. The length does not include start/stop characters.",PUBLIC_PRG,false,0x02,0x02,,,,,,,0x08,,,,,CODE39
C3L2,CI_CODE39_LENGTH_2,Code 39 Set Length 2,Specifies one of the barcode lengths for Code39 length control.,1,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check, data, and full-ASCII shift characters. The length does not include start/stop characters.",PUBLIC_PRG,false,0x32,0x32,,,,,,,0x10,,,,,CODE39
C3LC,CI_CODE39_LENGTH_CONTROL,Code 39 Length Control,Specifies either variable-length decoding or fixed-length decoding for Code39,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum and maximum length may be set. For fixed-length decoding, two different lengths may be set.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
C3LO,CI_CODE39_QUIET_ZONE,Code 39 Quiet Zones,Specifies the number of quiet zones for Code 39,1,"[format=selection]
0x00=Small quiet zones on two sides
0x01=Small quiet zones on two sides
0x02=Quiet zones on two sides
0x03=Small quiet zones on two sides
0x04=Small quiet zones on two sides
0x05=Small quiet zones on two sides",,"0x00=same as 01(Museo-only)
0x01=Quiet zone on one side (Museo-only)
0x02=Quiet zones on two sides (All)
0x03=Auto (Museo-only)
0x04=Virtual quiet zones on two sides (Museo-only)
0x05=Small quiet zones on two sides (All)
When a Museo-only option value is received by a 2D HH, it's accepted and the scanners behaves as in the table below:
2D HH Value Options Mapping: 
0x02=Quiet zones on two sides
0x03=0x00=0x01=0x04=0x05=Small quiet zones on two sides",PUBLIC_PRG,false,0x00,0x00,,,,,,,0x01,,,,,CODE39
DPEN,CI_CODE39_DANISH_PPT_ENABLE,Code 39 Danish PPT Enable/Disable,Enables/Disables ability to decode Code39 Danish PPT labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
LPEN,CI_CODE39_LAPOSTE_ENABLE,Code 39 La Poste Enable/Disable,Enables/Disables ability to decode Code39 La Poste labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
C3IR,CI_CODE39_INTERDIGIT_MAX_RATIO,Code 39 Interdigit Ratio,Specifies the maximum ratio between intercharacter space and module for Code 39,1,"[format=range]
min=00
max=0x0A
step=01
[PRG_ValueIncluded=false]",,,PUBLIC_PRG,false,0x04,0x04,,,,,,,,,,,,CODE39
CTEN,CI_TRIOPTIC_ENABLE,Code Trioptic Enable/Disable,Enable/Disable Trioptic Symbology,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,TRIOPTIC
PZEN,CI_CODE39_PZN_ENABLE,Code 39 PZN Enable/Disable,Enables/Disables ability to decode Code39 PZN labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE39
C8EN,CI_CODE128_ENABLE,Code 128 Enable/Disable,Enables/Disables ability to decode Code128 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,CODE128
U8EN,CI_EAN128_ENABLE,GS1-128 Enable,Enables/Disables ability to translate GS1-128 labels to the GS1-128 data format,1,"[format=selection]
0x00=Transmit EAN128 labels in Code128 data format
0x01=Transmit EAN128 labels in EAN128 data format
0x02=Do not transmit EAN128 labels",,EAN128 labels are a special format of Code128 labels.,PUBLIC_PRG,false,0x01,0x01,,,,,,,0x00,,,,,EAN128
C8L1,CI_CODE128_LENGTH_1,Code 128 Set Length 1,Specifies one of the barcode lengths for Code128 length control.,1,"[format=range]
min=01
max=0x50
step=01
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x01,0x01,,,,,,,0x08,,,,,CODE128
C8L2,CI_CODE128_LENGTH_2,Code 128 Set Length 2,Specifies one of the barcode lengths for Code128 length control.,1,"[format=range]
min=00
max=0x50
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s data characters only.",PUBLIC_PRG,false,0x50,0x50,,,,,,,0x2E,,,,,CODE128
C8LC,CI_CODE128_LENGTH_CONTROL,Code 128 Length Control,Specifies either variable-length decoding or fixed-length decoding for Code128,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,CODE128
C8LO,CI_CODE128_QUIET_ZONE,Code 128 Quiet Zones,Specifies the number of quiet zones for Code 128,1,"[format=selection]
0x00=no quiet zones
0x01=quiet zone on one side
0x02=quiet zones on two sides
0x03=Auto
0x04=virtual quiet zones on two sides",,"0x00=same as 01(Museo-only)
0x01=Quiet zone on one side (Museo-only)
0x02=Quiet zones on two sides (All)
0x03=Auto (Museo-only)
0x04=Virtual quiet zones on two sides (Museo-only)
When a Museo-only option value is received by a 2D HH, it's accepted and the scanners behaves as in the table below:
2D HH Value Options Mapping: 
0x02=Quiet zones on two sides
0x03=0x00=0x01=0x04=Auto=Small quiet zones on two sides",PUBLIC_PRG,false,0x03,0x03,,,,,,0x00,0x02,,,,,CODE128
C8DA,CI_CODE128_DIGIT_AGGRESSIVENESS,Code 128 Aggressiveness,Specifies the tolerance of the digit classification algorithm for Code 128.,1,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",,A high value of aggressiveness makes the algorithm more tolerant and able to classify distorted codes. A low value of aggressiveness makes the algorithm safer and reduces the risk of misread.,PUBLIC_PRG,false,0x03,0x03,,,,,,,0x01,,,,,CODE128
I8CE,CI_ISBT128_CONCATENATE_ENABLE,ISBT 128 Concatenation,Enables/Disables ISBT128 concatenation of 2 labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,"Use the Datalogic Aladdin Configuration Application or contact Customer Support to set up pairs of label types for concatenation.
See ISBT 128 Concatenate Pair 0-15 configuration items to set up the concatenation pairs.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ISBT128
I8CM,CI_ISBT128_CONCATENATION_MODE,ISBT 128 Concatenation Mode,Specifies the concatenation mode between Static and Dynamic.,1,"[format=selection]
0x00=Static
0x01=Dynamic",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ISBT128
I8DT,CI_ISBT128_DYNAMIC_CONCATENATION_TIMEOUT,ISBT 128 Dynamic Concatenation Timeout,Specifies the timeout in 10-millisecond ticks used by the ISBT Dynamic Concatenation Mode.,1,"[format=range]
min=05
max=0xFF
step=01
[PRG_ValueIncluded=false]",,Value is multiplied by 10 msec step.,PUBLIC_PRG,false,0x14,0x14,,,,,,,,,,,,ISBT128
I8FC,CI_ISBT128_FORCE_CONCATENATION,ISBT 128 Force Concatenation,Force all ISBT 128 labels to be concatenated.,1,"[format=selection]
0x00=Disable
0x01=Enable",,See ISBT 128 Concatenate Pair 0-15 configuration items to set up the concatenation pairs.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,ISBT128
