Name,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default,CI_ValueOptions,CI_TagName
SNHD,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_HAND_CAP_SENSOR
SNBL,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_BACKLIGHT_DETECTOR_ENABLE
SNBL,,,,,,,,,,,,,,,,,,
SITF,0x47,0x47,,,,,,,,,,,,,,,"[format=selection]
0x47=USB-COM
0x44=USB-HID-POS
0x35=USB-KBD",CI_SECONDARY_INTERFACE_TYPE
RFTA,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=No indications
01=Beep indication
02=Led indication
03=Beep and Led indications
04=Viber indication
05=Beep and Viber indications
06=Led and Viber indications
07=Beep, Led and Viber indications
[PRG_ValueIncluded=false]",CI_RF_TIMEOUT_ALTERNATE_INDICATION
RFPP,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Point to multipoint
01=Point to point",CI_RF_POINT_TO_POINT
RFEA,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=No indications
01=Beep indication
02=Led indication
03=Beep and Led indications
04=Viber indication
05=Beep and Viber indications
06=Led and Viber indications
07=Beep, Led and Viber indications
[PRG_ValueIncluded=false]",CI_RF_ERROR_ALTERNATE_INDICATION
RFDA,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=No additional indications
01=Led additional indication
02=Viber additional indication
03=Led and Viber additional indications
[PRG_ValueIncluded=false]",CI_RF_DISCONNECT_ADDITIONAL_INDICATION
RFCA,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=No additional indications
01=Led additional indication
02=Viber additional indication
03=Led and Viber additional indications
[PRG_ValueIncluded=false]",CI_RF_CONNECT_ADDITIONAL_INDICATION
PWE2,0x00000000000000000000000000000000,0x00000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
min=0x00
max=0xFE
[PRG_ValueIncluded=false]",CI_KEYB_KEYSEQ_TERM
PWE1,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYB_KEYSEQ_HEAD
KF51,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION1_FOR_SHIFT
KF41,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION1_FOR_F4
KF31,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION1_FOR_F3
KF23,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION3_FOR_F2
KF22,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION2_FOR_F2
KF21,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION1_FOR_F2
KF13,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION3_FOR_F1
KF12,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)",CI_KEYBOARD_SET_ACTION2_FOR_F1
KF11,0x0000,0x0000,,,,,,,,,,,,,,,"[format=selection]
0x00=not confgured   
0x01=Enter
0x02=Transmit string 1
0x03=Transmit string 2
0x04=Transmit string 3
0x05=Transmit string 4
0x06=Transmit string 5
0x07=Togle backlight on/off
0x08=Clear the screen 
0x09=Back space
0x0A=pressed once, recalls the last code pressed twice resend the last code.
0x0B=Display Data and Time
0x0C=Scroll up display content by row
0x0D=Scroll down display content by row
0x0E=Dot character [.]
0x0F=Dynamic Quantity code function
0x10=Send batch. (valid when batch is active)
0x11=Erase all batch. (valid when batch is active)
",CI_KEYBOARD_SET_ACTION1_FOR_F1
GSAL,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[PRG_ValueIncluded=false]",CI_GREEN_SPOT_AID_LIGHT
FAMC,,,,,,,,,,,,,,,,,,
DTTW,0xC8,0xC8,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DOUBLE_TAP_TIME_WINDOW
DTTL,0x04,0x04,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x7F
step=01
[PRG_ValueIncluded=false]",CI_DOUBLE_TAP_TIME_LIMIT
DTTH,0x50,0x50,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x7F
step=01
[PRG_ValueIncluded=false]",CI_DOUBLE_TAP_THRESHOLD
DTLA,0x64,0x64,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DOUBLE_TAP_TIME_LATENCY
DLDE,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Hide display legend row
01=Show display legend row",CI_DISPLAY_LEGEND_ENABLE
BTWF,0x00000000000000000000,0x00000000000000000000,,,,,,,,,,,,,,,,CI_BT_WIFI_FRIENDLY
BTSL,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
01=Level 1 - lowest
02=Level 2
03=Level 3 - highest",CI_BT_SECURITY_LEVEL
BTSF,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable SDK
01=Enable SDK with CRC
02=Enable SDK without CRC
03=Enable Dynamic SDK",CI_BT_SDK_FORMATTING
BTLD,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_BT_LOW_LEVEL_DEBUG
BTDT,0x02,0x02,,,,,,,,,,,,,,,"[format=selection]
00=1 minute
01=2 minutes
02=3 minutes
03=4 minutes
04=5 minutes",CI_BT_DISCOVERABLE_TIMEOUT
BTCR,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Acceptor
01=Initiator",CI_BT_CONNECTION_ROLE
BTAC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_BT_HID_ALWAYS_CONNECTABLE
BSPD,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=False
01=True",CI_BT_SSP_DEBUG_MODE
BPCE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_BEEPER_CHARGE_ENABLE
BLAR,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Double Tap
02=Horizontal Shake (future impl.)
03=Wake up (future impl.)",CI_BATTERY_LEVEL_AVAILABLE_REQUESTS
BCHP,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Maximum Performances
01=Battery Health
02=Battery Save
03=Fast Charge",CI_BATTERY_PROFILES
BALM,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0x64
step=01
[PRG_ValueIncluded=false]",CI_BATTERY_LEVEL_MID
DLSF,,,,,,,,,,,,,,,,,,CI_DRIVERS_LICENSE_STANDARD_FORMATTING
DLFF,,,,,,,,,,,,,,,,,,CI_DRIVERS_LICENSE_FIELD_FILL
DLDF,,,,,,,,,,,,,,,,,,CI_DRIVERS_LICENSE_DATE_FILL
DLFS,,,,,,,,,,,,,,,,,,CI_DRIVERS_LICENSE_FIELD_SELECTION
DLEN,,,,,,,,,,,,,,,,,,CI_DRIVERS_LICENSE_ENABLE
T4SF,,,,,,,,,,,,,,,,,,CI_AF4_STANDARD_FORMATTING
T4TO,,,,,,,,,,,,,,,,,,CI_AF4_TRANSMISSION_ORDER
T4A2,,,,,,,,,,,,,,,,,,CI_AF4_ADDITIONAL_FIELD_2
T4A1,,,,,,,,,,,,,,,,,,CI_AF4_ADDITIONAL_FIELD_1
T45R,,,,,,,,,,,,,,,,,,CI_AF4_FIELD5_TERMINATOR
T45T,,,,,,,,,,,,,,,,,,CI_AF4_FIELD5_SEPARATOR_TX
T45S,,,,,,,,,,,,,,,,,,CI_AF4_FIELD5_SEPARATOR
T45L,,,,,,,,,,,,,,,,,,CI_AF4_FIELD5_LENGTH
T45C,,,,,,,,,,,,,,,,,,CI_AF4_FIELD5_CRITERIA
T44R,,,,,,,,,,,,,,,,,,CI_AF4_FIELD4_TERMINATOR
T44T,,,,,,,,,,,,,,,,,,CI_AF4_FIELD4_SEPARATOR_TX
T44S,,,,,,,,,,,,,,,,,,CI_AF4_FIELD4_SEPARATOR
T44L,,,,,,,,,,,,,,,,,,CI_AF4_FIELD4_LENGTH
T44C,,,,,,,,,,,,,,,,,,CI_AF4_FIELD4_CRITERIA
T43R,,,,,,,,,,,,,,,,,,CI_AF4_FIELD3_TERMINATOR
T43T,,,,,,,,,,,,,,,,,,CI_AF4_FIELD3_SEPARATOR_TX
T43S,,,,,,,,,,,,,,,,,,CI_AF4_FIELD3_SEPARATOR
T43L,,,,,,,,,,,,,,,,,,CI_AF4_FIELD3_LENGTH
T43C,,,,,,,,,,,,,,,,,,CI_AF4_FIELD3_CRITERIA
T42R,,,,,,,,,,,,,,,,,,CI_AF4_FIELD2_TERMINATOR
T42T,,,,,,,,,,,,,,,,,,CI_AF4_FIELD2_SEPARATOR_TX
T42S,,,,,,,,,,,,,,,,,,CI_AF4_FIELD2_SEPARATOR
T42L,,,,,,,,,,,,,,,,,,CI_AF4_FIELD2_LENGTH
T42C,,,,,,,,,,,,,,,,,,CI_AF4_FIELD2_CRITERIA
T41R,,,,,,,,,,,,,,,,,,CI_AF4_FIELD1_TERMINATOR
T41T,,,,,,,,,,,,,,,,,,CI_AF4_FIELD1_SEPARATOR_TX
T41S,,,,,,,,,,,,,,,,,,CI_AF4_FIELD1_SEPARATOR
T41L,,,,,,,,,,,,,,,,,,CI_AF4_FIELD1_LENGTH
T41C,,,,,,,,,,,,,,,,,,CI_AF4_FIELD1_CRITERIA
T4RR,,,,,,,,,,,,,,,,,,CI_AF4_REPLACE_CHAR_REPLACE
T4RF,,,,,,,,,,,,,,,,,,CI_AF4_REPLACE_CHAR_FIND
T4RE,,,,,,,,,,,,,,,,,,CI_AF4_REPLACE_ENABLE
T4AN,,,,,,,,,,,,,,,,,,CI_AF4_ADJUST_NUM_CHARS
T4AT,,,,,,,,,,,,,,,,,,CI_AF4_ADJUST_TYPE
T4AC,,,,,,,,,,,,,,,,,,CI_AF4_ADJUST_CHAR
T4AE,,,,,,,,,,,,,,,,,,CI_AF4_ADJUST_ENABLE
T4MP,,,,,,,,,,,,,,,,,,CI_AF4_MATCH_CHAR_POSITION
T4MC,,,,,,,,,,,,,,,,,,CI_AF4_MATCH_CHARS
T4ML,,,,,,,,,,,,,,,,,,CI_AF4_MATCH_LENGTH
T4MT,,,,,,,,,,,,,,,,,,CI_AF4_MATCH_TYPE
T4EN,,,,,,,,,,,,,,,,,,CI_AF4_ENABLE
T3SF,,,,,,,,,,,,,,,,,,CI_AF3_STANDARD_FORMATTING
T3TO,,,,,,,,,,,,,,,,,,CI_AF3_TRANSMISSION_ORDER
T3A2,,,,,,,,,,,,,,,,,,CI_AF3_ADDITIONAL_FIELD_2
T3A1,,,,,,,,,,,,,,,,,,CI_AF3_ADDITIONAL_FIELD_1
T35R,,,,,,,,,,,,,,,,,,CI_AF3_FIELD5_TERMINATOR
T35T,,,,,,,,,,,,,,,,,,CI_AF3_FIELD5_SEPARATOR_TX
T35S,,,,,,,,,,,,,,,,,,CI_AF3_FIELD5_SEPARATOR
T35L,,,,,,,,,,,,,,,,,,CI_AF3_FIELD5_LENGTH
T35C,,,,,,,,,,,,,,,,,,CI_AF3_FIELD5_CRITERIA
T34R,,,,,,,,,,,,,,,,,,CI_AF3_FIELD4_TERMINATOR
T34T,,,,,,,,,,,,,,,,,,CI_AF3_FIELD4_SEPARATOR_TX
T34S,,,,,,,,,,,,,,,,,,CI_AF3_FIELD4_SEPARATOR
T34L,,,,,,,,,,,,,,,,,,CI_AF3_FIELD4_LENGTH
T34C,,,,,,,,,,,,,,,,,,CI_AF3_FIELD4_CRITERIA
T33R,,,,,,,,,,,,,,,,,,CI_AF3_FIELD3_TERMINATOR
T33T,,,,,,,,,,,,,,,,,,CI_AF3_FIELD3_SEPARATOR_TX
T33S,,,,,,,,,,,,,,,,,,CI_AF3_FIELD3_SEPARATOR
T33L,,,,,,,,,,,,,,,,,,CI_AF3_FIELD3_LENGTH
T33C,,,,,,,,,,,,,,,,,,CI_AF3_FIELD3_CRITERIA
T32R,,,,,,,,,,,,,,,,,,CI_AF3_FIELD2_TERMINATOR
T32T,,,,,,,,,,,,,,,,,,CI_AF3_FIELD2_SEPARATOR_TX
T32S,,,,,,,,,,,,,,,,,,CI_AF3_FIELD2_SEPARATOR
T32L,,,,,,,,,,,,,,,,,,CI_AF3_FIELD2_LENGTH
T32C,,,,,,,,,,,,,,,,,,CI_AF3_FIELD2_CRITERIA
T31R,,,,,,,,,,,,,,,,,,CI_AF3_FIELD1_TERMINATOR
T31T,,,,,,,,,,,,,,,,,,CI_AF3_FIELD1_SEPARATOR_TX
T31S,,,,,,,,,,,,,,,,,,CI_AF3_FIELD1_SEPARATOR
T31L,,,,,,,,,,,,,,,,,,CI_AF3_FIELD1_LENGTH
T31C,,,,,,,,,,,,,,,,,,CI_AF3_FIELD1_CRITERIA
T3RR,,,,,,,,,,,,,,,,,,CI_AF3_REPLACE_CHAR_REPLACE
T3RF,,,,,,,,,,,,,,,,,,CI_AF3_REPLACE_CHAR_FIND
T3RE,,,,,,,,,,,,,,,,,,CI_AF3_REPLACE_ENABLE
T3AN,,,,,,,,,,,,,,,,,,CI_AF3_ADJUST_NUM_CHARS
T3AT,,,,,,,,,,,,,,,,,,CI_AF3_ADJUST_TYPE
T3AC,,,,,,,,,,,,,,,,,,CI_AF3_ADJUST_CHAR
T3AE,,,,,,,,,,,,,,,,,,CI_AF3_ADJUST_ENABLE
T3MP,,,,,,,,,,,,,,,,,,CI_AF3_MATCH_CHAR_POSITION
T3MC,,,,,,,,,,,,,,,,,,CI_AF3_MATCH_CHARS
T3ML,,,,,,,,,,,,,,,,,,CI_AF3_MATCH_LENGTH
T3MT,,,,,,,,,,,,,,,,,,CI_AF3_MATCH_TYPE
T3EN,,,,,,,,,,,,,,,,,,CI_AF3_ENABLE
T2SF,,,,,,,,,,,,,,,,,,CI_AF2_STANDARD_FORMATTING
T2TO,,,,,,,,,,,,,,,,,,CI_AF2_TRANSMISSION_ORDER
T2A2,,,,,,,,,,,,,,,,,,CI_AF2_ADDITIONAL_FIELD_2
T2A1,,,,,,,,,,,,,,,,,,CI_AF2_ADDITIONAL_FIELD_1
T25R,,,,,,,,,,,,,,,,,,CI_AF2_FIELD5_TERMINATOR
T25T,,,,,,,,,,,,,,,,,,CI_AF2_FIELD5_SEPARATOR_TX
T25S,,,,,,,,,,,,,,,,,,CI_AF2_FIELD5_SEPARATOR
T25L,,,,,,,,,,,,,,,,,,CI_AF2_FIELD5_LENGTH
T25C,,,,,,,,,,,,,,,,,,CI_AF2_FIELD5_CRITERIA
T24R,,,,,,,,,,,,,,,,,,CI_AF2_FIELD4_TERMINATOR
T24T,,,,,,,,,,,,,,,,,,CI_AF2_FIELD4_SEPARATOR_TX
T24S,,,,,,,,,,,,,,,,,,CI_AF2_FIELD4_SEPARATOR
T24L,,,,,,,,,,,,,,,,,,CI_AF2_FIELD4_LENGTH
T24C,,,,,,,,,,,,,,,,,,CI_AF2_FIELD4_CRITERIA
T23R,,,,,,,,,,,,,,,,,,CI_AF2_FIELD3_TERMINATOR
T23T,,,,,,,,,,,,,,,,,,CI_AF2_FIELD3_SEPARATOR_TX
T23S,,,,,,,,,,,,,,,,,,CI_AF2_FIELD3_SEPARATOR
T23L,,,,,,,,,,,,,,,,,,CI_AF2_FIELD3_LENGTH
T23C,,,,,,,,,,,,,,,,,,CI_AF2_FIELD3_CRITERIA
T22R,,,,,,,,,,,,,,,,,,CI_AF2_FIELD2_TERMINATOR
T22T,,,,,,,,,,,,,,,,,,CI_AF2_FIELD2_SEPARATOR_TX
T22S,,,,,,,,,,,,,,,,,,CI_AF2_FIELD2_SEPARATOR
T22L,,,,,,,,,,,,,,,,,,CI_AF2_FIELD2_LENGTH
T22C,,,,,,,,,,,,,,,,,,CI_AF2_FIELD2_CRITERIA
T21R,,,,,,,,,,,,,,,,,,CI_AF2_FIELD1_TERMINATOR
T21T,,,,,,,,,,,,,,,,,,CI_AF2_FIELD1_SEPARATOR_TX
T21S,,,,,,,,,,,,,,,,,,CI_AF2_FIELD1_SEPARATOR
T21L,,,,,,,,,,,,,,,,,,CI_AF2_FIELD1_LENGTH
T21C,,,,,,,,,,,,,,,,,,CI_AF2_FIELD1_CRITERIA
T2RR,,,,,,,,,,,,,,,,,,CI_AF2_REPLACE_CHAR_REPLACE
T2RF,,,,,,,,,,,,,,,,,,CI_AF2_REPLACE_CHAR_FIND
T2RE,,,,,,,,,,,,,,,,,,CI_AF2_REPLACE_ENABLE
T2AN,,,,,,,,,,,,,,,,,,CI_AF2_ADJUST_NUM_CHARS
T2AT,,,,,,,,,,,,,,,,,,CI_AF2_ADJUST_TYPE
T2AC,,,,,,,,,,,,,,,,,,CI_AF2_ADJUST_CHAR
T2AE,,,,,,,,,,,,,,,,,,CI_AF2_ADJUST_ENABLE
T2MP,,,,,,,,,,,,,,,,,,CI_AF2_MATCH_CHAR_POSITION
T2MC,,,,,,,,,,,,,,,,,,CI_AF2_MATCH_CHARS
T2ML,,,,,,,,,,,,,,,,,,CI_AF2_MATCH_LENGTH
T2MT,,,,,,,,,,,,,,,,,,CI_AF2_MATCH_TYPE
T2EN,,,,,,,,,,,,,,,,,,CI_AF2_ENABLE
T1SF,,,,,,,,,,,,,,,,,,CI_AF1_STANDARD_FORMATTING
T1TO,,,,,,,,,,,,,,,,,,CI_AF1_TRANSMISSION_ORDER
T1A2,,,,,,,,,,,,,,,,,,CI_AF1_ADDITIONAL_FIELD_2
T1A1,,,,,,,,,,,,,,,,,,CI_AF1_ADDITIONAL_FIELD_1
T15R,,,,,,,,,,,,,,,,,,CI_AF1_FIELD5_TERMINATOR
T15T,,,,,,,,,,,,,,,,,,CI_AF1_FIELD5_SEPARATOR_TX
T15S,,,,,,,,,,,,,,,,,,CI_AF1_FIELD5_SEPARATOR
T15L,,,,,,,,,,,,,,,,,,CI_AF1_FIELD5_LENGTH
T15C,,,,,,,,,,,,,,,,,,CI_AF1_FIELD5_CRITERIA
T14R,,,,,,,,,,,,,,,,,,CI_AF1_FIELD4_TERMINATOR
T14T,,,,,,,,,,,,,,,,,,CI_AF1_FIELD4_SEPARATOR_TX
T14S,,,,,,,,,,,,,,,,,,CI_AF1_FIELD4_SEPARATOR
T14L,,,,,,,,,,,,,,,,,,CI_AF1_FIELD4_LENGTH
T14C,,,,,,,,,,,,,,,,,,CI_AF1_FIELD4_CRITERIA
T13R,,,,,,,,,,,,,,,,,,CI_AF1_FIELD3_TERMINATOR
T13T,,,,,,,,,,,,,,,,,,CI_AF1_FIELD3_SEPARATOR_TX
T13S,,,,,,,,,,,,,,,,,,CI_AF1_FIELD3_SEPARATOR
T13L,,,,,,,,,,,,,,,,,,CI_AF1_FIELD3_LENGTH
T13C,,,,,,,,,,,,,,,,,,CI_AF1_FIELD3_CRITERIA
T12R,,,,,,,,,,,,,,,,,,CI_AF1_FIELD2_TERMINATOR
T12T,,,,,,,,,,,,,,,,,,CI_AF1_FIELD2_SEPARATOR_TX
T12S,,,,,,,,,,,,,,,,,,CI_AF1_FIELD2_SEPARATOR
T12L,,,,,,,,,,,,,,,,,,CI_AF1_FIELD2_LENGTH
T12C,,,,,,,,,,,,,,,,,,CI_AF1_FIELD2_CRITERIA
T11R,,,,,,,,,,,,,,,,,,CI_AF1_FIELD1_TERMINATOR
T11T,,,,,,,,,,,,,,,,,,CI_AF1_FIELD1_SEPARATOR_TX
T11S,,,,,,,,,,,,,,,,,,CI_AF1_FIELD1_SEPARATOR
T11L,,,,,,,,,,,,,,,,,,CI_AF1_FIELD1_LENGTH
T11C,,,,,,,,,,,,,,,,,,CI_AF1_FIELD1_CRITERIA
T1RR,,,,,,,,,,,,,,,,,,CI_AF1_REPLACE_CHAR_REPLACE
T1RF,,,,,,,,,,,,,,,,,,CI_AF1_REPLACE_CHAR_FIND
T1RE,,,,,,,,,,,,,,,,,,CI_AF1_REPLACE_ENABLE
T1AN,,,,,,,,,,,,,,,,,,CI_AF1_ADJUST_NUM_CHARS
T1AT,,,,,,,,,,,,,,,,,,CI_AF1_ADJUST_TYPE
T1AC,,,,,,,,,,,,,,,,,,CI_AF1_ADJUST_CHAR
T1AE,,,,,,,,,,,,,,,,,,CI_AF1_ADJUST_ENABLE
T1MP,,,,,,,,,,,,,,,,,,CI_AF1_MATCH_CHAR_POSITION
T1MC,,,,,,,,,,,,,,,,,,CI_AF1_MATCH_CHARS
T1ML,,,,,,,,,,,,,,,,,,CI_AF1_MATCH_LENGTH
T1MT,,,,,,,,,,,,,,,,,,CI_AF1_MATCH_TYPE
T1EN,,,,,,,,,,,,,,,,,,CI_AF1_ENABLE
CNTT,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_TX_AFTER_TIMEOUT
CNTO,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_TIMEOUT
CNRT,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_RESULT_CODE_TYPE
CNL2,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_CODE_LENGTH_2
CNT2,,,,,,,,,,,,,,,,,,CI_AFC_CONCAT_CODE_TYPE_2
